market,signal,time,highest_ratio,  potential_profit,position_size,take_profit_ratio,actual_profit
BEAR,SELL,"Jan 04, 10:55PM",2.78:1,$3.94,227790,1.0:1,$1.42
BEAR,SELL,"Jan 05, 09:40AM",0.81:1,$1.65,155100,1.0:1,$1.65
BEAR,SELL,"Jan 05, 09:40PM",0.99:1,$1.00,329565,1.0:1,$1.00
BEAR,SELL,"Jan 06, 05:50AM",0.31:1,$0.27,390822,1.0:1,$0.27
BEAR,SELL,"Jan 06, 07:55AM",2.00:1,$3.19,200250,1.0:1,$1.60
BEAR,SELL,"Jan 06, 03:10PM",0.44:1,$1.18,115212,1.0:1,$1.18
BEAR,SELL,"Jan 06, 06:50PM",0.20:1,$0.34,185173,1.0:1,$0.34
BEAR,SELL,"Jan 07, 04:50AM",0.23:1,$0.25,298361,1.0:1,$0.25
BEAR,SELL,"Jan 07, 07:30AM",0.80:1,$1.35,190081,1.0:1,$1.35
BEAR,SELL,"Jan 07, 06:55PM",0.79:1,$1.02,252405,1.0:1,$1.02
BEAR,SELL,"Jan 08, 08:15AM",2.85:1,$3.13,300791,1.0:1,$1.10
BEAR,SELL,"Jan 09, 12:10AM",1.31:1,$0.90,508843,1.0:1,$0.69
BEAR,SELL,"Jan 09, 05:35AM",3.15:1,$2.52,428414,1.0:1,$0.80
BEAR,SELL,"Jan 09, 02:25PM",0.70:1,$2.00,109592,1.0:1,$2.00
